Cuenca;Epoca;Punto;Hydrobiosidae;Helicopsychidae;Glossosomatidae;Calamoceratidae;Philopotamidae;Polycentropodidae;Xiphocentronidae;Hydropsychidae;Leptoceridae;Odontoceridae;Hydroptilidae;Simuliidae;Tipilidae;Tabanidae;Ceratopogonidae;Chironomidae;Empididae;tanyderidae;Blephariceridae;Baetidae;Leptophlebiidae;Leptohyphidae;Perlidae;Elmidae;Planorbidae;Physidae;Unionidae;Planariidae;Hyalellidae;Tubificidae; Hydrachnidae ;ND
Morro;Lluviosa;P1;3;1;0;0;0;0;0;0;3;0;195;16;2;3;3;203;0;0;0;117;1;0;0;127;1;4;0;3;33;6;61;1
Morro;Lluviosa;P2;0;7;0;0;0;0;0;0;1;2;154;4;10;0;1;103;0;0;0;72;0;0;0;11;0;9;4;5;7;5;9;0
Morro;Lluviosa;P3;0;2;0;0;0;0;0;0;11;1;24;11;0;0;8;76;0;0;1;121;0;34;0;11;0;0;0;2;4;2;1;0
Tejar;Lluviosa;P1;4;0;0;0;2;2;0;2;0;6;152;2;17;0;8;69;1;0;0;41;0;0;1;82;0;20;2;7;47;6;17;0
Tejar;Lluviosa;P2;5;7;0;0;0;0;0;0;2;3;64;154;10;0;17;80;0;0;0;36;0;0;0;93;0;7;1;5;43;3;0;0
Tejar;Lluviosa;P3;7;13;0;0;0;1;0;0;9;0;6;72;0;0;4;176;0;0;1;146;0;2;0;14;0;5;1;0;11;11;17;1
Penagos;Lluviosa;P1;14;2;27;0;0;0;0;1;8;91;85;11;1;0;2;145;0;0;0;106;0;0;0;17;0;0;0;63;47;3;2;0
Penagos;Lluviosa;P2;1;0;21;0;1;0;0;2;2;0;167;30;0;0;0;31;0;0;0;82;2;0;1;16;0;0;0;12;105;14;1;0
Penagos;Lluviosa;P3;3;17;0;0;0;0;0;1;1;0;4;28;5;0;0;36;0;0;0;38;0;1;7;8;0;0;1;11;110;8;4;0
Morro;Seca;P1;15;1;0;0;0;0;0;0;1;0;102;104;6;2;6;197;0;0;1;86;1;0;0;71;0;8;0;9;35;9;41;0
Morro;Seca;P2;1;2;0;0;0;0;0;0;0;25;174;2;0;0;2;167;1;0;0;37;0;1;0;10;0;3;0;0;9;0;14;0
Morro;Seca;P3;3;3;0;0;0;0;3;0;80;29;58;18;0;2;5;77;0;0;0;73;0;116;0;9;0;0;0;9;0;3;15;0
Tejar;Seca;P1;2;0;0;0;0;0;2;0;1;17;11;76;8;0;27;153;0;0;0;95;0;0;0;73;0;5;1;7;51;8;0;0
Tejar;Seca;P2;2;7;0;0;0;0;0;0;3;0;4;84;46;0;62;49;0;3;0;31;0;0;0;74;0;1;0;5;59;6;12;0
Tejar;Seca;P3;19;9;0;0;0;0;0;0;13;0;3;69;6;0;21;44;0;0;0;136;0;0;0;6;0;0;0;5;5;2;5;0
Penagos;Seca;P1;20;0;5;0;0;0;0;0;10;22;4;72;5;0;1;123;0;0;0;199;0;0;0;3;0;0;1;76;87;17;0;0
Penagos;Seca;P2;17;0;11;3;0;0;1;4;2;40;12;29;3;0;2;55;0;0;0;77;17;0;0;16;0;0;3;3;47;12;0;0
Penagos;Seca;P3;5;10;0;0;0;0;0;0;1;12;39;141;9;0;8;31;1;0;16;99;0;0;0;56;0;0;1;12;42;3;0;0
